seed,pair_id,retained,role,rank_training,evaluation,unused_after_eval_cap
20260806,0,True,unused_after_eval_cap,False,False,True
20260806,1,True,evaluation,False,True,False
20260806,2,True,unused_after_eval_cap,False,False,True
20260806,3,True,evaluation,False,True,False
20260806,4,True,evaluation,False,True,False
20260806,5,True,evaluation,False,True,False
20260806,6,True,evaluation,False,True,False
20260806,7,True,evaluation,False,True,False
20260806,8,True,evaluation,False,True,False
20260806,9,True,evaluation,False,True,False
20260806,10,True,evaluation,False,True,False
20260806,11,True,evaluation,False,True,False
20260806,12,True,evaluation,False,True,False
20260806,13,True,evaluation,False,True,False
20260806,15,True,evaluation,False,True,False
20260806,16,True,evaluation,False,True,False
20260806,17,True,unused_after_eval_cap,False,False,True
20260806,18,True,unused_after_eval_cap,False,False,True
20260806,19,True,evaluation,False,True,False
20260806,20,True,evaluation,False,True,False
20260806,21,True,unused_after_eval_cap,False,False,True
20260806,22,True,evaluation,False,True,False
20260806,23,True,rank_training,True,False,False
20260806,24,True,unused_after_eval_cap,False,False,True
20260806,25,True,evaluation,False,True,False
20260806,26,True,evaluation,False,True,False
20260806,27,True,evaluation,False,True,False
20260806,28,True,rank_training,True,False,False
20260806,29,True,evaluation,False,True,False
20260806,30,True,unused_after_eval_cap,False,False,True
20260806,31,True,evaluation,False,True,False
20260806,32,True,evaluation,False,True,False
20260806,33,True,rank_training,True,False,False
20260806,34,True,rank_training,True,False,False
20260806,35,True,evaluation,False,True,False
20260806,36,True,evaluation,False,True,False
20260806,37,True,evaluation,False,True,False
20260806,38,True,rank_training,True,False,False
20260806,39,True,rank_training,True,False,False
20260806,40,True,evaluation,False,True,False
20260806,41,True,evaluation,False,True,False
20260806,42,True,rank_training,True,False,False
20260806,43,True,evaluation,False,True,False
20260806,44,True,evaluation,False,True,False
20260806,45,True,unused_after_eval_cap,False,False,True
20260806,46,True,unused_after_eval_cap,False,False,True
20260806,47,True,evaluation,False,True,False
20260806,48,True,evaluation,False,True,False
20260806,49,True,rank_training,True,False,False
20260806,50,True,evaluation,False,True,False
20260806,51,True,evaluation,False,True,False
20260806,52,True,evaluation,False,True,False
20260806,53,True,evaluation,False,True,False
20260806,54,True,unused_after_eval_cap,False,False,True
20260806,55,True,evaluation,False,True,False
20260806,56,True,unused_after_eval_cap,False,False,True
20260806,57,True,unused_after_eval_cap,False,False,True
20260806,58,True,evaluation,False,True,False
20260806,59,True,evaluation,False,True,False
20260806,60,True,evaluation,False,True,False
20260806,61,True,evaluation,False,True,False
20260806,62,True,rank_training,True,False,False
20260806,63,True,rank_training,True,False,False
20260806,64,True,evaluation,False,True,False
20260806,65,True,unused_after_eval_cap,False,False,True
20260806,66,True,evaluation,False,True,False
20260806,67,True,evaluation,False,True,False
20260806,68,True,unused_after_eval_cap,False,False,True
20260806,69,True,evaluation,False,True,False
20260806,70,True,evaluation,False,True,False
20260806,71,True,evaluation,False,True,False
20260806,72,True,evaluation,False,True,False
20260806,73,True,evaluation,False,True,False
20260806,74,True,unused_after_eval_cap,False,False,True
20260806,75,True,evaluation,False,True,False
20260806,76,True,evaluation,False,True,False
20260806,77,True,evaluation,False,True,False
20260806,78,True,evaluation,False,True,False
20260806,79,True,unused_after_eval_cap,False,False,True
20260806,80,True,unused_after_eval_cap,False,False,True
20260806,81,True,evaluation,False,True,False
20260806,82,True,evaluation,False,True,False
20260806,83,True,unused_after_eval_cap,False,False,True
20260806,84,True,unused_after_eval_cap,False,False,True
